year,month,day,tow.number,tow.id,species,number.caught,weight.caught,presence,species.logbook,comment
1988,8,5,2,S88002,10,20,NA,1,Morues,
1988,8,5,2,S88002,41,100,NA,1,plies,
1988,8,5,2,S88002,598,NA,NA,1,loches,quelques
1988,8,5,2,S88002,1224,0,NA,1,Pas vu ceci dans blackbook,
1988,8,6,1,S88004,10,10,NA,1,morue,
1988,8,6,1,S88004,41,20,NA,1,plies,
1988,8,6,1,S88004,6100,NA,NA,1,étoile de mer non spécifié,2 pouces
1988,8,6,2,S88005,41,25,NA,1,plies,
1988,8,6,2,S88005,598,5,NA,1,loches,
1988,8,6,3,S88006,23,4,NA,1,poissons rouges,
1988,8,6,3,S88006,598,2,NA,1,loches ,
1988,8,6,3,S88006,2220,5,NA,1,crevettes,
1988,8,6,4,S88007,10,2,NA,1,morues,
1988,8,6,4,S88007,41,NA,NA,1,plies,
1988,8,6,4,S88007,2520,20,NA,1,hyas,
1988,8,6,4,S88007,4320,100,NA,1,pétoncles,
1988,8,6,4,S88007,6400,500,NA,1,oursins,
1988,8,6,5,S88008,10,50,NA,1,morues,
1988,8,6,5,S88008,41,100,NA,1,plies,
1988,8,6,5,S88008,4320,25,NA,1,pétoncles d'islande,
1988,8,6,5,S88008,6400,500,NA,1,oursins,
1988,8,6,6,S88009,10,10,NA,1,Morues,
1988,8,6,6,S88009,41,100,NA,1, plies,
1988,8,6,6,S88009,202,3,NA,1, raies,
1988,8,6,6,S88009,598,3-Feb,NA,1,loches,
1988,8,6,6,S88009,4210,10,NA,1,bigorneaux,
1988,8,6,6,S88009,4320,7,NA,1,pétoncles d'islande,
1988,8,6,6,S88009,6400,1000,NA,1,oursins,plus de 1000
1988,8,6,7,S88010,10,20,NA,1,morues,
1988,8,6,7,S88010,41,50,NA,1, plies,
1988,8,6,7,S88010,64,1,NA,1,capelan,
1988,8,6,7,S88010,202,2,NA,1,raies,
1988,8,6,7,S88010,2560,5,NA,1,bernard l'hermite,
1988,8,6,7,S88010,6400,10,NA,1,oursins,
1988,8,7,1,S88011,10,10,NA,1,morues,
1988,8,7,1,S88011,41,20,NA,1,plies,
1988,8,7,1,S88011,598,5,NA,1,loches,
1988,8,7,3,S88013,10,10,NA,1,morues,
1988,8,7,3,S88013,41,20,NA,1,plies,
1988,8,7,3,S88013,598,5,NA,1,loches,
1988,8,7,3,S88013,2520,100,NA,1,hyas,
1988,8,7,3,S88013,6300,500,NA,1,corne de cerf,
1988,8,7,3,S88013,6400,NA,NA,1,oursins,
1988,8,7,4,S88014,35,1,NA,1,barbue,
1988,8,7,4,S88014,41,50,NA,1,plies,
1988,8,7,4,S88014,202,5,NA,1,raies,
1988,8,7,5,S88015,10,20,NA,1,morues,
1988,8,7,5,S88015,41,30,NA,1, plies,
1988,8,7,5,S88015,598,NA,NA,1,loches,
1988,8,7,5,S88015,6110,NA,NA,1,étoile a 16 pattes,
1988,8,7,5,S88015,6400,200,NA,1,oursins,
1988,8,7,6,S88016,10,2,NA,1,morues,
1988,8,7,6,S88016,23,3,NA,1,poissons rouges,
1988,8,7,6,S88016,41,2,NA,1,plies,
1988,8,7,7,S88017,10,5,NA,1,morues,
1988,8,7,7,S88017,41,50,NA,1,plies,
1988,8,7,7,S88017,598,3,NA,1,loches,
1988,8,7,7,S88017,4210,10,NA,1,bigorneaux,
1988,8,7,7,S88017,6300,10,NA,1,corne de cerf,
1988,8,7,7,S88017,,3,NA,1,barbue,
1988,8,9,1,S88018,10,10,NA,1,morues,
1988,8,9,1,S88018,41,30,NA,1,plies,
1988,8,9,1,S88018,202,NA,NA,1,raies,
1988,8,9,1,S88018,598,NA,NA,1,loches,
1988,8,9,3,S88020,10,20,NA,1,morues,
1988,8,9,3,S88020,41,200,NA,1,plies,
1988,8,9,4,S88021,10,20,NA,1,morues,
1988,8,9,4,S88021,41,50,NA,1,plies,
1988,8,9,4,S88021,4210,50,NA,1,bigorneaux,
1988,8,9,4,S88021,6400,1000,NA,1,oursins,
1988,8,9,5,S88022,,NA,NA,1,oursins,
