 03062006 19    3 0080017 2 63.3346.76 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080018 2 63.8845.22 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080019 2 74.4352.74 ****** 4 ** 1400000000 ******1*** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080020 2 68.3146.18 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080021 2 70.0548.02 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080022 2 61.9341.67 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080023 2 68.9647.27 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080024 2 64.1943.87 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080025 2 62.9843.29 ****** 4 ** 1400000000 ********11 LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080026 2 71.7252.69 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080027 2 67.1144.46 ****** 4 ** 1400000000 *1*****1** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080028 2 61.2242.00 ****** 4 ** 1400000000 ******1*** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080029 2 59.9943.05 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080030 2 62.8741.23 ****** 4 ** 1400000000 1********* LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080031 2 53.3040.58 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080032 2 61.9440.32 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080033 2 69.8450.00 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080034 2 65.5443.51 ****** 4 ** 1400000000 ******1*** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080035 2 69.6546.48 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080036 2 64.9342.64 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080037 2 63.4944.58 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
