 30052006 19    3 0080016 1 29.06*****  3.97* 1 ** **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080017 1 27.20*****  4.09* 1 ** **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080018 1 34.38*****  4.92* 1 ** **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080019 2 63.5942.97 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080020 2 63.3440.87 ****** 4 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080021 2 72.0649.57 ****** 4 ** 2400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080022 2 65.1744.77 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080023 2 61.6439.92 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080024 2 70.1647.22 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080025 2 69.3046.34 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080026 2 69.9350.74 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080027 2 66.1446.15 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080028 2 64.5143.64 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080029 2 58.3440.70 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080030 2 60.0339.50 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080031 2 70.0046.27 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080032 2 63.0542.95 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080033 2 60.7341.34 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080034 2 61.3241.24 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080035 2 60.7740.24 ****** 4 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080036 2 66.5347.63 ****** 4 ** 1400000000 ******1*** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080037 2 64.1945.07 ****** 4 ** 1400000000 *1******** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080038 2 58.4240.52 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080039 2 62.6743.43 ****** 3 ** 1400000000 ***1****** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080040 2 62.2343.00 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080041 2 65.1245.00 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080042 2 78.2554.27 ****** 4 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080043 2 66.1844.25 ****** 4 ** 1400000000 *1******** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080044 2 61.6140.52 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080045 2 57.6442.15 ****** 3 ** 1400000000 1***1***** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080046 2 76.0350.39 ****** 4 ** 1400000000 ******1*** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080047 2 63.0342.14 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080048 2 60.3839.63 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080049 2 67.1248.27 ****** 4 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080050 2 70.3448.87 ****** 4 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080051 2 59.6441.49 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080052 2 58.7939.34 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080053 2 60.8941.56 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080054 2 62.8641.63 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080055 2 59.5637.06 ****** 3 ** 2400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080056 2 63.3943.47 ****** 3 ** 2400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080057 2 61.4641.13 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080058 2 59.7841.67 ****** 3 ** 2400000000 *******11* LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080059 2 63.1442.84 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080060 2 55.6537.45 ****** 3 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080061 2 50.1534.54 ****** 2 ** 1400000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080062 2 47.8122.96 ****** 1  2 **00000000 ********1* LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080063 2 55.2627.56 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080064 2 48.7323.90 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080065 2 51.7626.18 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080066 2 49.1024.67 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080067 2 55.4126.40 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080068 2 49.9423.82 ****** 1  3 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080069 2 51.2325.90 ****** 1  3 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080070 2 48.6224.14 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080071 2 51.3226.04 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080072 2 49.6024.61 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080073 2 46.9322.69 ****** 1  2 **00000000 **11****** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080074 2 50.9324.44 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080075 2 50.3825.33 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080076 2 53.5326.40 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080077 2 50.4024.53 ****** 1  2 **00000000 *********2 LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080078 2 39.4018.54 ****** 1  1 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080079 2 49.0326.21 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080080 2 49.5024.35 ****** 1  2 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080081 2 37.2616.97 ****** 1  1 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080082 2 39.1616.73 ****** 1  1 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080083 2 27.9611.13 ****** 1  1 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080084 2 28.0111.53 ****** 1  1 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *                
 30052006 19    3 0080085 2 27.1511.16 ****** 1  1 **00000000 ********** LL 04635285 06122441  36 **** ****       M. HÉBERT/C. ALBERT   ***** *               
