 14071993 12    3 0010001 1    77*****    17* 4 ** **00000000 ****1***** LC 015054.7 030417.2  41 * 45 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010002 1    88*****    17* 4 ** **00000000 ********** LC 015054.7 030417.2  41 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010003 1    95*****    22* 3 ** **00000000 *******1** LC 015054.7 030417.2  41 * 89 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010004 1    69*****    14* 4 ** **00000000 ********1* LC 015054.7 030417.2  41 * 46 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010005 1    66*****    15* 4 ** **00000000 ***1***11* LC 015054.7 030417.2  41 * 40 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010006 1    55***** ****** 4 ** **00000000 1**2*1**1* LC 015054.7 030417.2  41 **** ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010007 1    68*****    15* 4 ** **00000000 ********** LC 015054.7 030417.2  41 * 55 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010008 1    91*****    20* 4 ** **00000000 *****6**** LC 015054.7 030417.2  41 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010009 1    67*****    14* 3 ** **00000000 ********** LC 015054.7 030417.2  41 * 69 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010010 1    78*****    14* 3 ** **00000000 ********** LC 015054.7 030417.2  41 * 49 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010011 1    68*****    14* 4 ** **00000000 ****1***** LC 015054.7 030417.2  41 * 56 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010012 1    66*****    14* 4 ** **00000000 ********** LC 015054.7 030417.2  41 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010013 1    60*****    13* 4 ** **00000000 ***11**1** LC 015054.7 030417.2  41 * 50 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010014 1    74*****    15* 4 ** **00000000 ********** LC 015054.7 030417.2  41 * 60 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010015 1    68***** ****** 4 ** **00000000 1****1**** LC 015054.7 030417.2  41 **** ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010016 1    55*****    10* 4 ** **00000000 ********** LC 015054.7 030417.2  41 * 46 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010017 1    61***** ****** 4 ** **00000000 1*1**22**1 LC 015054.7 030417.2  41 **** ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010018 1    51*****    10* 4 ** **00000000 ********** LC 015054.7 030417.2  41 * 25 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010019 1    64*****    13* 3 ** **00000000 1*1***1*1* LC 015054.7 030417.2  41 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010020 1    62*****    13* 4 ** **00000000 ***1****1* LC 015054.7 030417.2  41 * 53 ****       C.ALBERT/A.HEBERT     ***** *                
 14071993 12    3 0010021 1    52*****    10* 4 ** **00000000 ****1**1** LC 015054.7 030417.2  41 * 60 ****       C.ALBERT/A.HEBERT     ***** *                
