 25091993 19    3 0040001 1    42***** ****** 1 ** **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040002 1   116*****    31* 3 ** **00000000 *******1** LC 014494.8 029093.7  47 * 84 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040003 1    82*****    18* 3 ** **00000000 ********** LC 014494.8 029093.7  47 * 59 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040004 1   106*****    26* 4 ** **00000000 ********** LC 014494.8 029093.7  47 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040005 1   115*****    29* 3M** **00000000 ********** LC 014494.8 029093.7  47 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040006 1   118*****    31* 3M** **00000000 ********** LC 014494.8 029093.7  47 * 78 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040007 1   115*****    27* 3M** **00000000 ********** LC 014494.8 029093.7  47 * 85 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040008 1    96*****    22* 4 ** **00000000 *******1** LC 014494.8 029093.7  47 * 71 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040009 1    85*****    19* 3 ** **00000000 ********** LC 014494.8 029093.7  47 * 77 ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040010 2    70   47 ****** 3M** 1400000000 *1**1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040011 2    64   42 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040012 2    66   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040013 2    72   47 ****** 3M** 2400000000 ****1*1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040014 2    54   35 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
