 15071993 12    3 0010001 1   100*****    25* 4 ** **00000000 ********1* LC 015059.6 030138.0  89 * 60 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010002 1   108*****    25* 4 ** **00000000 ********** LC 015059.6 030138.0  89 * 88 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010003 1   128*****    31* 3M** **00000000 ******6*** LC 015059.6 030138.0  89 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010004 1   113*****    27* 4 ** **00000000 ********** LC 015059.6 030138.0  89 * 81 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010005 1   105*****    26* 3M** **00000000 1*******6* LC 015059.6 030138.0  89 * 75 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010006 1   112*****    26* 1 ** **00000000 1**1****** LC 015059.6 030138.0  89 * 67 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010007 1    71*****    14* 4 ** **00000000 *1*1**6*** LC 015059.6 030138.0  89 * 66 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010008 1   110*****    27* 3M** **00000000 *********6 LC 015059.6 030138.0  89 * 82 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010009 1    84*****    18* 3M** **00000000 1*******1* LC 015059.6 030138.0  89 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010010 1    86*****    16* 1 ** **00000000 ********** LC 015059.6 030138.0  89 * 53 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010011 1    86*****    21* 3M** **00000000 ********** LC 015059.6 030138.0  89 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010012 1    72*****    15* 3M** **00000000 ********** LC 015059.6 030138.0  89 * 55 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010013 1    86*****    20* 3M** **00000000 ********** LC 015059.6 030138.0  89 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010014 1    77*****    17* 3M** **00000000 ******1*** LC 015059.6 030138.0  89 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010015 1    17*****   2.1* 1 ** **00000000 ********** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010016 1    20*****   2.9* 1 ** **00000000 ********** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010017 1    20*****     3* 1 ** **00000000 ********** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010018 2    60   40 ****** 3M** 1400000000 ********** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010019 2    60   42 ****** 4 ** 1400000000 *******11* LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010020 2    60   40 ****** 3 ** 1400000000 ********** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010021 2    59   42 ****** 3M** 1400000000 *******1** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010022 2    59   41 ****** 3 ** 1400000000 *1***1**** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010023 2    60   42 ****** 3M** 1400000000 ******1*** LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
 15071993 12    3 0010024 2    62   42 ****** 3M** 1200000000 **1******* LC 015059.6 030138.0  89 **** ****       C.ALBERT/A.HEBERT     ***** *                
