 25091993 19    3 0020041 2    64   43 ****** 3M** 1400000000 *********1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020042 2    73   48 ****** 3M** 1400000000 *******1*1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020043 2    64   45 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020044 2    57   42 ****** 3M** 1400000000 ******1*** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020045 2    60   40 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020046 2    60   41 ****** 3M** 1400000000 *1**1***** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020047 2    54   35 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020048 2    61   45 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020049 2    74   51 ****** 3M** 1400000000 *1**1***** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020050 2    61   40 ****** 3M** 1400000000 *****1**11 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020051 2    67   45 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020052 2    67   47 ****** 3M** 2400000000 ******1**1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020053 2    57   42 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020054 2    64   47 ****** 3M** 2400000000 ****1***** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020055 2    59   41 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020056 2    62   46 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020057 2    57   39 ****** 3M** 1400000000 *1*1*****1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020058 2    66   47 ****** 3M** 2400000000 1**1****** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020059 2    69   48 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020060 2    55   37 ****** 3M** 2400000000 ******1*** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020061 2    57   38 ****** 3M** 1400000000 *********1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020062 2    53   37 ****** 3M** 2400000000 ****1***** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020063 2    55   38 ****** 3M** 2400000000 ******1*** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020064 2    70   49 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020065 2    56   38 ****** 3M** 1400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020066 2    59   40 ****** 3M** 2400000000 ******1**1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020067 2    65   44 ****** 3M** 2400000000 **1****1** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020068 2    55   36 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020069 2    54   36 ****** 3M** 2400000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020070 2    55   38 ****** 3M** 2400000000 *********1 LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020071 2    60   40 ****** 3M** 1400000000 **111***** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020072 2    49***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020073 2    46***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020074 2    59***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020075 2    33***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020076 2    39***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020077 2    25***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020078 2    48***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020079 2    47***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0020080 2    46***** ****** 1  1 **00000000 ********** LC 014492.9 029176.9  34 **** ****       C.ALBERT/A.HEBERT     ***** *                
