 23091993 19    3 0050001 1   116*****    29* 3 ** **00000000 ********** LC 014510.1 029099.2  51 * 82 ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050002 2    82   55 ****** 3M** 1400000000 ********1* LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050003 2    68   47 ****** 3M** 2400000000 *********1 LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050004 2    66   45 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050005 2    70   45 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050006 2    67   45 ****** 3M** 1400000000 ********11 LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050007 2    67   44 ****** 3M** 1400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050008 2    69   46 ****** 3M** 2400000000 ***1****** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050009 2    70   49 ****** 3M** 1400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050010 2    66   44 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050011 2    69   49 ****** 3M** 2400000000 ****1***** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050012 2    69   50 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050013 2    60   42 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050014 2    67   47 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050015 2    67   47 ****** 3M** 1400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050016 2    72   52 ****** 3M** 1400000000 **1*1***** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050017 2    69   48 ****** 3M** 2400000000 ********** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
 23091993 19    3 0050018 2    80   55 ****** 3M** 2400000000 *1******** LC 014510.1 029099.2  51 **** ****       A.HEBERT/C.ALBERT     ***** *                
