 26091993 19    3 0030001 1   108*****    25* 3 ** **00000000 1********* LC 014521.8 028967.1  58 * 81 ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030002 2    61   43 ****** 3M** 1400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030003 2    76   50 ****** 3M** 1400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030004 2    76   50 ****** 3M** 1200000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030005 2    76   51 ****** 3M** 1400000000 *1******** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030006 2    75   47 ****** 3M** 1200000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030007 2    75   52 ****** 3M** 1100000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030008 2    75   51 ****** 3M** 2400000000 *******1** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030009 2    65   41 ****** 3M** 1400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030010 2    64   44 ****** 3M** 1400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030011 2    63   42 ****** 3M** 1200000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030012 2    65   44 ****** 3M** 1200000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030013 2    71   48 ****** 3M** 1400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030014 2    75   51 ****** 3M** 2400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030015 2    59   39 ****** 3M** 2400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030016 2    65   46 ****** 3M** 1400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030017 2    63   42 ****** 3M** 2400000000 *1******** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030018 2    74   52 ****** 3M** 1400000000 *******1** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030019 2    71   45 ****** 3M** *000000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030020 2    73   50 ****** 3M** 2400000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030021 2    62   40 ****** 3M** 1400000000 *******1** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030022 2    73   51 ****** 3M** 1100000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030023 2    71   46 ****** 3M** 1200000000 ******111* LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030024 2    69   49 ****** 3M** 2400000000 *****1*1** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
 26091993 19    3 0030025 2    51***** ****** 1  3 **00000000 ********** LC 014521.8 028967.1  58 **** ****       C.ALBERT/A.HEBERT     ***** *                
