 29071993 12    3 0100001 1   107*****    27* 3 ** **00000000 ********** LC 015103.7 030924.7  45 * 89 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100002 1   125*****    33* 3 ** **00000000 ********** LC 015103.7 030924.7  45 * 91 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100003 1   114*****    29* 3 ** **00000000 ********** LC 015103.7 030924.7  45 * 90 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100004 1   122*****    31* 3 ** **00000000 ********** LC 015103.7 030924.7  45 * 83 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100005 1   116*****    28* 3 ** **00000000 ********** LC 015103.7 030924.7  45 * 83 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100006 1    90*****    21* 3M** **00000000 ********** LC 015103.7 030924.7  45 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100007 1    83*****    19* 3M** **00000000 *****2*1** LC 015103.7 030924.7  45 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100008 1    92*****    21* 3M** **00000000 **1******* LC 015103.7 030924.7  45 * 85 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100009 1    74*****    16* 3M** **00000000 *1******** LC 015103.7 030924.7  45 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100010 1    68*****    15* 4 ** **00000000 ********1* LC 015103.7 030924.7  45 * 35 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100011 1    67*****    14* 4 ** **00000000 *2****1*** LC 015103.7 030924.7  45 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100012 1    67*****    13* 4 ** **00000000 ********** LC 015103.7 030924.7  45 * 69 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100013 1    67*****    14* 4 ** **00000000 ****1***** LC 015103.7 030924.7  45 * 57 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100014 1    75*****    15* 1 ** **00000000 *1*1**1*** LC 015103.7 030924.7  45 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100015 1    34***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100016 1    37***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100017 1    47***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100018 1    27***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100019 1    27***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100020 1    35***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100021 1    33***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100022 1    27***** ****** 1 ** **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100023 1    33***** ****** 1 ** **00000000 **22****** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
 29071993 12    3 0100024 2    50***** ****** 1  1 **00000000 ********** LC 015103.7 030924.7  45 **** ****       C.ALBERT/A.HEBERT     ***** *                
