 23071993 12    3 0060001 1    94*****    20* 3 ** **00000000 **1******* LC 014897.3 029580.0  47 * 90 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060002 1   102*****    27* 1 ** **00000000 ********** LC 014897.3 029580.0  47 * 36 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060003 1   100*****    22* 4 ** **00000000 ********** LC 014897.3 029580.0  47 * 78 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060004 1    76*****    17* 4 ** **00000000 ********** LC 014897.3 029580.0  47 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060005 1    90*****    21* 1 ** **00000000 *1******** LC 014897.3 029580.0  47 * 50 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060006 1   118*****    31* 1 ** **00000000 ********** LC 014897.3 029580.0  47 * 40 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060007 1   116*****    28* 3 ** **00000000 ********** LC 014897.3 029580.0  47 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060008 1    73*****    14* 3 ** **00000000 ********** LC 014897.3 029580.0  47 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060009 1    93*****    21* 3 ** **00000000 *1*******1 LC 014897.3 029580.0  47 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060010 1   125*****    32* 3 ** **00000000 ********** LC 014897.3 029580.0  47 * 82 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060011 1    82*****    19* 3 ** **00000000 1********* LC 014897.3 029580.0  47 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060012 1    99*****    23* 3 ** **00000000 ********** LC 014897.3 029580.0  47 * 81 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060013 1   105*****    25* 1 ** **00000000 ********** LC 014897.3 029580.0  47 * 50 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060014 1    90*****    20* 3M** **00000000 *1******** LC 014897.3 029580.0  47 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060015 1   102*****    26* 3M** **00000000 ********** LC 014897.3 029580.0  47 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060016 1    70*****    14* 3 ** **00000000 ********** LC 014897.3 029580.0  47 * 60 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060017 1    57*****    11* 3M** **00000000 ********** LC 014897.3 029580.0  47 * 47 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060018 1    88*****    17* 3 ** **00000000 ********** LC 014897.3 029580.0  47 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 23071993 12    3 0060019 1    84*****    18* 3M** **00000000 ********** LC 014897.3 029580.0  47 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
