 22091993 18    3 0040001 2    20***** ****** 1 ** **00000000 ********** LC 014453.5 029204.7  38 **** ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040002 2    67   46 ****** 2 ** 1400000000 ********** LC 014453.5 029204.7  38 **** ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040003 1    95*****    19* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 60 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040004 1    84*****    14* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040005 1   105*****    20* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 59 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040006 1   111*****    22* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 62 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040007 1   106*****    20* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 62 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040008 1    98*****    18* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040009 1   109*****    21* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 69 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040010 1   132*****    34* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 75 ****       C.ALBERT/A.HEBERT     ***** VIRUS ABDOMEN    
 22091993 18    3 0040011 1   107*****    24* 2 ** **00000000 ********** LC 014453.5 029204.7  38 * 88 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040012 1   131*****    35* 2 ** **00000000 ********** LC 014453.5 029204.7  38 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040013 1    83*****    15* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040014 1   101*****    19* 1 ** **00000000 ********** LC 014453.5 029204.7  38 * 51 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040015 1   118*****    33* 2 ** **00000000 ********** LC 014453.5 029204.7  38 * 90 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040016 1   105*****    20* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 61 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040017 1   128*****    36* 2 ** **00000000 ********** LC 014453.5 029204.7  38 * 78 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040018 1    92*****    17* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040019 1   110*****    21* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 67 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040020 1    97*****    20* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 64 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040021 1   107*****    21* 3 ** **00000000 *******1** LC 014453.5 029204.7  38 * 51 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040022 1   107*****    28* 2 ** **00000000 ********** LC 014453.5 029204.7  38 * 78 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040023 1   123*****    33* 2 ** **00000000 ********** LC 014453.5 029204.7  38 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040024 1    93*****    17* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 70 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040025 1    90*****    17* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 69 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040026 1   132*****    33* 3 ** **00000000 *******11* LC 014453.5 029204.7  38 * 83 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040027 1   109*****    21* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 75 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040028 1   107*****    19* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 80 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040029 1    93*****    14* 3 ** **00000000 ********** LC 014453.5 029204.7  38 * 68 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040030 1   100*****    20* 1 ** **00000000 ********** LC 014453.5 029204.7  38 * 61 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040031 1    83*****    13* 1 ** **00000000 ********** LC 014453.5 029204.7  38 * 67 ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040032 2    77   52 ****** 2 ** 1400000000 **1******* LC 014453.5 029204.7  38 **** ****       C.ALBERT/A.HEBERT     ***** *                
 22091993 18    3 0040033 2    28***** ****** 1  1 **00000000 ********** LC 014453.5 029204.7  38 **** ****       C.ALBERT/A.HEBERT     ***** *                
