 13062009 19    3 0070102 1 34.19*****  4.73* 1 ** **00000000 *******1** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070103 1 38.39*****  6.72* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070104 1 33.11*****  4.77* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070105 1 27.91*****  3.97* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070106 1 26.32*****  3.93* 1 ** **00000000 *22******* LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070107 1 41.42*****  6.46* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070108 1 39.49*****  5.75* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070109 1 37.43*****  5.81* 1 ** **00000000 *****2**22 LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070110 1 36.53*****  5.31* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070111 1 36.53*****  5.31* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070112 1 39.28*****  6.23* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070113 1 45.47*****  7.07* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070114 1 41.88*****  6.26* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070115 1 40.55*****  5.59* 1 ** **00000000 ***11***** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070116 1 37.33*****  5.67* 1 ** **00000000 **1******* LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070117 1 34.12*****  4.96* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070118 1 26.89*****  3.87* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070119 1 25.76*****  3.77* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070120 1 31.34*****  4.41* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070121 1 32.76*****  4.83* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070122 1 38.19*****  5.81* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070123 1 36.42*****  5.31* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070124 1 34.35*****  4.81* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070125 1 40.00*****  6.26* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070126 1 27.07*****  4.08* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070127 1 26.14*****  3.96* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070128 1 27.75*****  3.83* 1 ** **00000000 **1*****1* LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070129 1 32.25*****  4.90* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070130 1 26.27*****  3.78* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070131 1 27.17*****  3.68* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070132 1 28.18*****  4.08* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070133 1 31.45*****  4.79* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070134 1 32.54*****  4.61* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070135 1 25.37*****  3.60* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070136 1 27.08*****  3.98* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070137 1 24.56*****  3.59* 1 ** **00000000 **2******* LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070138 1 23.12*****  3.76* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070139 1 29.12*****  3.94* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070140 1 25.03*****  3.64* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070141 1 21.24*****  2.99* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070142 1 27.77*****  3.80* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070143 1 20.58*****  2.80* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070144 1 20.42*****  2.87* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070145 1 20.40*****  2.89* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070146 1 19.33*****  2.51* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070147 1 18.59*****  2.81* 1 ** **00000000 **2******* LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070148 1 19.62*****  2.69* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070149 1 19.04*****  2.87* 1 ** **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070150 2 56.1839.18 ****** 2 ** 1400000000 ****1***** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070151 2 72.9851.02 ****** 4 ** *000000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070152 2 60.2138.48 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070153 2 72.3951.92 ****** 3 ** *000000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070154 2 73.0250.61 ****** 4 ** 1400000000 *******1** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070155 2 49.7432.45 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070156 2 53.8435.53 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070157 2 55.3037.68 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070158 2 59.4541.29 ****** 2 ** 1400000000 ****1***** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070159 2 56.6240.95 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070160 2 58.8941.21 ****** 2 ** 1400000000 ********12 LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070161 2 59.1240.63 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070162 2 56.2038.64 ****** 2 ** 1400000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070163 2 56.7927.41 ****** 2  3 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070164 2 51.9425.78 ****** 2  1 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070165 2 49.0623.97 ****** 2  1 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070166 2 51.3025.36 ****** 2  1 **00000000 ***1****** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070167 2 50.1724.12 ****** 2  2 **00000000 *******1** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070168 2 39.4518.61 ****** 2  1 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070169 2 50.2623.72 ****** 2  1 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070170 2 47.5322.88 ****** 2  3 **00000000 **11****** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070171 2 36.3016.22 ****** 2  1 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070172 2 48.7824.73 ****** 2 ** 1100000000 ****1**1*1 LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
 13062009 19    3 0070173 2 40.0018.33 ****** 2  1 **00000000 ********** LL 04635660 06122505  35 **** ****       JF.LANDRY/ M. HEBERT  ***** *                
