 12092004 12    3 0060020 1 36.78*****  5.39* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060021 1 36.24*****  5.22* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060022 1 36.50*****  5.21* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060023 1 51.27*****  6.36* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060024 1 37.54*****  5.25* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060025 1 54.48*****  7.97* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060026 1 37.97*****  5.20* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060027 1 36.94*****  5.48* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060028 1 53.55*****  6.98* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060029 1 37.17*****  5.10* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060030 1 41.63*****  5.78* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060031 1 37.04*****  4.94* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060032 1 45.05*****  6.86* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060033 1 32.57*****  4.33* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060034 1 36.16*****  5.15* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060035 1 34.23*****  5.05* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060036 1 28.00*****  3.52* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060037 1 26.01*****  3.43* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060038 1 29.32*****  4.00* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060039 1 49.03*****  7.10* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060040 1 47.32*****  7.03* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060041 1 36.12*****  4.94* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060042 1 36.27*****  5.14* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060043 1 32.96*****  4.85* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060044 1 33.85*****  3.92* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060045 1 34.46*****  4.63* 1 ** **00000000 ***2****** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060046 1 32.67*****  4.22* 1 ** **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060047 2 53.2627.24 ****** 1  3 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060048 2 51.3726.23 ****** 1  3 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060049 2 53.9526.53 ****** 1  3 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060050 2 51.5526.15 ****** 1  3 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060051 2 48.0922.75 ****** 1  3 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060052 2 39.5519.77 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060053 2 38.1016.21 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
