 01102004 19    3 0050027 1 45.89*****  7.41* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050028 1 44.03*****  6.28* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050029 1 39.40*****  5.60* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050030 1 48.17*****  7.35* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050031 1 36.05*****  5.06* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050032 1 48.75*****  7.32* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050033 1 38.28*****  5.48* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050034 1 45.32*****  6.72* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050035 1 52.91***** 10.45* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050036 1 40.33*****  5.66* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050037 1 45.18*****  6.42* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050038 1 46.65*****  7.40* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050039 1 44.04*****  6.80* 1 ** **00000000 **2******* LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050040 1 51.14*****  7.82* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050041 1 44.39*****  6.94* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050042 1 37.49*****  4.18* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050043 1 50.55*****  8.19* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050044 1 41.25*****  6.27* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050045 1 41.75*****  6.32* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050046 1 36.57*****  5.08* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050047 1 42.72*****  5.54* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050048 1 50.74*****  6.76* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
