 05091995 19    3 0120001 1   123*****    33* 5 ** **00000000 *******1** LC 014492.5 029122.3  42 * 68 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120002 1   113*****    30* 4 ** **00000000 ****1***** LC 014492.5 029122.3  42 * 82 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120003 1   124*****    32* 4 ** **00000000 ********** LC 014492.5 029122.3  42 * 84 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120004 1   118*****    30* 4 ** **00000000 ****1***** LC 014492.5 029122.3  42 * 80 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120005 1    94*****    22* 4 ** **00000000 ******1*** LC 014492.5 029122.3  42 * 80 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120006 1    71*****    16* 2 ** **00000000 ********** LC 014492.5 029122.3  42 * 70 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120007 1    53*****     9* 1 ** **00000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120008 1    46***** ****** 1 ** **00000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120009 1    34***** ****** 1 ** **00000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120010 1    25***** ****** 1 ** **00000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120011 2    70   50 ****** 5 ** 1400000000 *****1**** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120012 2    64   44 ****** 5 ** 1400000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120013 2    70   46 ****** 5 ** 1200000000 *1***11*** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120014 2    61   41 ****** 5 ** 1100000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 19    3 0120015 2    68   46 ****** 5 ** 1400000000 ********** LC 014492.5 029122.3  42 **** ****       S.ALBERT/C.ALBERT     ***** *                
