 05091995 18    3 0070001 1   110*****    27* 5 ** **00000000 ********** LC 014484.5 029251.8  33 * 77 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070041 2    81   56 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070042 2    81   53 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070043 2    69   47 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070044 2    73   51 ****** 3 ** 1400000000 **11****** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070045 2    75   53 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070046 2    70   49 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070047 2    68   55 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070048 2    67   46 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070049 2    66   44 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070050 2    68   45 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070051 2    73   51 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070052 2    73   52 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070053 2    68   44 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070054 2    82   57 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070055 2    73   52 ****** 3 ** 1400000000 *******1** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070056 2    72   50 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070057 2    75   53 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070058 2    61   40 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070059 2    76   55 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070060 2    63   44 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070061 2    73   52 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070062 2    70   48 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070063 2    65   46 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070064 2    72   51 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070065 2    70   49 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
