measurements::GPnum,measurements::Species,measurements::Measurement,measurements::Measurementnum,measurements::One hundred flag,measurements::One hundred message,measurements::dataentrybox Measure,measurements::Measurement transformed,measurements::Measurement comment,measurements::Datetime
GP004F,620,193.6mm,1,0,,,193.6,,2022-08-10 08:24:21
GP004F,632,120.6mm,1,0,,,120.6,,2022-08-10 08:24:34
GP004F,632,122.4mm,2,0,,,122.4,,2022-08-10 08:24:38
GP004F,40,296.6mm,1,0,,,296.6,,2022-08-10 08:24:55
GP004F,40,213.4mm,2,0,,,213.4,,2022-08-10 08:25:38
GP004F,40,231.8mm,3,0,,,231.8,,2022-08-10 08:25:42
GP004F,40,221.7mm,4,0,,,221.7,,2022-08-10 08:25:45
GP004F,40,250.3mm,5,0,,,250.3,,2022-08-10 08:25:48
GP004F,40,258.6mm,6,0,,,258.6,,2022-08-10 08:25:52
GP004F,40,201.0mm,7,0,,,201.0,,2022-08-10 08:25:55
GP004F,40,167.5mm,8,0,,,167.5,,2022-08-10 08:25:58
GP004F,40,144.8mm,9,0,,,144.8,,2022-08-10 08:26:01
GP004F,40,217.5mm,10,0,,,217.5,,2022-08-10 08:26:05
GP004F,40,242.6mm,11,0,,,242.6,,2022-08-10 08:26:08
GP004F,40,167.9mm,12,0,,,167.9,,2022-08-10 08:26:12
GP004F,40,166.5mm,13,0,,,166.5,,2022-08-10 08:26:16
GP004F,40,90.1mm,14,0,,,90.1,,2022-08-10 08:26:21
GP004F,40,241.4mm,15,0,,,241.4,,2022-08-10 08:26:27
GP004F,40,161.5mm,16,0,,,161.5,,2022-08-10 08:26:32
GP004F,40,167.4mm,17,0,,,167.4,,2022-08-10 08:26:36
GP007F,350,167.8mm,1,0,,,167.8,,2022-08-10 12:55:09
GP007F,350,133.6mm,2,0,,,133.6,,2022-08-10 12:55:13
GP007F,350,158.1mm,3,0,,,158.1,,2022-08-10 12:55:16
GP007F,350,154.8mm,4,0,,,154.8,,2022-08-10 12:55:18
GP007F,350,118.6mm,5,0,,,118.6,,2022-08-10 12:55:21
GP007F,632,111.6mm,1,0,,,111.6,,2022-08-10 12:55:41
GP007F,632,107.3mm,2,0,,,107.3,,2022-08-10 12:55:46
GP007F,620,222.0mm,1,0,,,222.0,,2022-08-10 12:56:10
GP007F,40,197.2mm,1,0,,,197.2,,2022-08-10 12:56:26
GP007F,40,240.3mm,2,0,,,240.3,,2022-08-10 12:56:29
GP007F,40,304.2mm,3,0,,,304.2,,2022-08-10 12:56:32
GP007F,40,165.0mm,4,0,,,165.0,,2022-08-10 12:56:37
GP007F,40,250.4mm,5,0,,,250.4,,2022-08-10 12:56:39
GP007F,40,197.6mm,6,0,,,197.6,,2022-08-10 12:56:42
GP007F,40,135.9mm,7,0,,,135.9,,2022-08-10 12:56:46
GP007F,40,191.1mm,8,0,,,191.1,,2022-08-10 12:56:49
GP007F,40,247.1mm,9,0,,,247.1,,2022-08-10 12:56:52
GP007F,40,182.9mm,10,0,,,182.9,,2022-08-10 12:56:55
GP007F,40,114.7mm,11,0,,,114.7,,2022-08-10 12:56:58
GP007F,40,174.6mm,12,0,,,174.6,,2022-08-10 12:57:01
GP007F,40,199.1mm,13,0,,,199.1,,2022-08-10 12:57:03
GP007F,40,185.2mm,14,0,,,185.2,,2022-08-10 12:57:06
GP007F,40,211.7mm,15,0,,,211.7,,2022-08-10 12:57:09
GP007F,40,233.7mm,16,0,,,233.7,,2022-08-10 12:57:11
GP007F,40,281.3mm,17,0,,,281.3,,2022-08-10 12:57:14
GP007F,40,190.5mm,18,0,,,190.5,,2022-08-10 12:57:17
GP007F,40,200.0mm,19,0,,,200.0,,2022-08-10 12:57:20
GP007F,40,115.6mm,20,0,,,115.6,,2022-08-10 12:57:23
GP007F,40,143.2mm,21,0,,,143.2,,2022-08-10 12:57:26
GP007F,40,116.9mm,22,0,,,116.9,,2022-08-10 12:57:29
GP007F,40,96.5mm,23,0,,,96.5,,2022-08-10 12:57:32
GP007F,40,257.6mm,24,0,,,257.6,,2022-08-10 12:57:35
GP007F,40,135.9mm,25,0,,,135.9,,2022-08-10 12:57:38
GP007F,40,208.8mm,26,0,,,208.8,,2022-08-10 12:57:42
GP008F,31,235.7mm,1,0,,,235.7,,2022-08-10 13:59:55
GP008F,350,184.0mm,1,0,,,184.0,,2022-08-10 14:00:09
GP008F,350,185.1mm,2,0,,,185.1,,2022-08-10 14:00:12
GP008F,350,194.0mm,3,0,,,194.0,,2022-08-10 14:00:15
GP008F,350,178.4mm,4,0,,,178.4,,2022-08-10 14:00:18
GP008F,620,183.9mm,1,0,,,183.9,,2022-08-10 14:00:34
GP008F,620,162.5mm,2,0,,,162.5,,2022-08-10 14:00:37
GP008F,40,322.2mm,1,0,,,322.2,,2022-08-10 14:00:49
GP008F,40,252.9mm,2,0,,,252.9,,2022-08-10 14:00:52
GP008F,40,252.8mm,3,0,,,252.8,,2022-08-10 14:00:54
GP008F,40,199.5mm,4,0,,,199.5,,2022-08-10 14:00:57
GP008F,40,214.0mm,5,0,,,214.0,,2022-08-10 14:01:00
GP008F,40,245.1mm,6,0,,,245.1,,2022-08-10 14:01:03
GP008F,40,237.3mm,7,0,,,237.3,,2022-08-10 14:01:05
GP008F,40,167.8mm,8,0,,,167.8,,2022-08-10 14:01:08
GP008F,40,246.1mm,9,0,,,246.1,,2022-08-10 14:01:10
GP008F,40,189.4mm,10,0,,,189.4,,2022-08-10 14:01:13
GP008F,40,300.0mm,11,0,,,300.0,,2022-08-10 14:01:16
GP008F,40,292.5mm,12,0,,,292.5,,2022-08-10 14:01:18
GP008F,40,291.4mm,13,0,,,291.4,,2022-08-10 14:01:21
GP008F,40,237.1mm,14,0,,,237.1,,2022-08-10 14:01:26
GP008F,40,168.1mm,15,0,,,168.1,,2022-08-10 14:01:29
GP008F,40,226.1mm,16,0,,,226.1,,2022-08-10 14:01:32
GP008F,40,201.0mm,17,0,,,201.0,,2022-08-10 14:01:35
GP008F,40,188.9mm,18,0,,,188.9,,2022-08-10 14:01:37
GP008F,40,208.7mm,19,0,,,208.7,,2022-08-10 14:01:40
GP008F,40,255.0mm,20,0,,,255.0,,2022-08-10 14:01:44
GP008F,40,299.2mm,21,0,,,299.2,,2022-08-10 14:01:46
GP008F,40,226.2mm,22,0,,,226.2,,2022-08-10 14:01:49
GP008F,40,221.0mm,23,0,,,221.0,,2022-08-10 14:01:52
GP008F,40,201.0mm,24,0,,,201.0,,2022-08-10 14:01:56
GP008F,40,147.5mm,25,0,,,147.5,,2022-08-10 14:01:59
GP008F,40,222.8mm,26,0,,,222.8,,2022-08-10 14:02:03
GP017F,302,131.3mm,1,0,,,131.3,,2022-08-14 11:03:47
GP017F,302,105.1mm,2,0,,,105.1,,2022-08-14 11:04:02
GP017F,302,164.2mm,3,0,,,164.2,,2022-08-14 11:04:05
GP017F,302,139.1mm,4,0,,,139.1,,2022-08-14 11:04:10
GP017F,302,158.9mm,5,0,,,158.9,,2022-08-14 11:04:14
GP017F,302,162.6mm,6,0,,,162.6,,2022-08-14 11:04:18
GP017F,302,151.9mm,7,0,,,151.9,,2022-08-14 11:04:22
GP017F,302,134.6mm,8,0,,,134.6,,2022-08-14 11:04:25
GP017F,302,142.8mm,9,0,,,142.8,,2022-08-14 11:04:30
GP017F,302,194.3mm,10,0,,,194.3,,2022-08-14 11:04:34
GP017F,302,133.8mm,11,0,,,133.8,,2022-08-14 11:04:39
GP017F,302,154.1mm,12,0,,,154.1,,2022-08-14 11:04:44
GP017F,302,152.5mm,13,0,,,152.5,,2022-08-14 11:04:48
GP017F,302,177.5mm,14,0,,,177.5,,2022-08-14 11:04:51
GP017F,302,151.2mm,15,0,,,151.2,,2022-08-14 11:04:55
GP017F,302,153.0mm,16,0,,,153.0,,2022-08-14 11:05:00
GP017F,302,102.6mm,17,0,,,102.6,,2022-08-14 11:05:03
GP017F,302,71.7mm,18,0,,,71.7,,2022-08-14 11:05:08
GP017F,42,258.7mm,1,0,,,258.7,,2022-08-14 11:05:53
GP017F,42,126.1mm,2,0,,,126.1,,2022-08-14 11:06:11
GP017F,42,163.0mm,3,0,,,163.0,,2022-08-14 11:06:14
GP017F,42,141.8mm,4,0,,,141.8,,2022-08-14 11:06:17
GP017F,42,177.0mm,5,0,,,177.0,,2022-08-14 11:06:20
GP017F,42,155.9mm,6,0,,,155.9,,2022-08-14 11:06:22
GP017F,42,150.5mm,7,0,,,150.5,,2022-08-14 11:06:25
GP017F,42,177.0mm,8,0,,,177.0,,2022-08-14 11:06:28
GP017F,42,152.8mm,9,0,,,152.8,,2022-08-14 11:06:31
GP017F,42,136.3mm,10,0,,,136.3,,2022-08-14 11:06:34
GP017F,42,129.6mm,11,0,,,129.6,,2022-08-14 11:06:37
GP017F,42,96.5mm,12,0,,,96.5,,2022-08-14 11:06:40
GP017F,42,179.7mm,13,0,,,179.7,,2022-08-14 11:06:43
GP017F,42,118.1mm,14,0,,,118.1,,2022-08-14 11:06:46
GP017F,42,132.5mm,15,0,,,132.5,,2022-08-14 11:06:49
GP017F,42,155.7mm,16,0,,,155.7,,2022-08-14 11:06:52
GP017F,42,151.5mm,17,0,,,151.5,,2022-08-14 11:06:55
GP017F,42,155.0mm,18,0,,,155.0,,2022-08-14 11:06:58
GP017F,42,111.6mm,19,0,,,111.6,,2022-08-14 11:07:00
GP017F,42,122.2mm,20,0,,,122.2,,2022-08-14 11:07:04
GP017F,42,119.7mm,21,0,,,119.7,,2022-08-14 11:07:07
GP017F,42,133.7mm,22,0,,,133.7,,2022-08-14 11:07:10
GP017F,42,119.4mm,23,0,,,119.4,,2022-08-14 11:07:13
GP017F,42,151.8mm,24,0,,,151.8,,2022-08-14 11:07:16
GP017F,42,183.2mm,25,0,,,183.2,,2022-08-14 11:07:19
GP017F,42,117.5mm,26,0,,,117.5,,2022-08-14 11:07:21
GP017F,42,143.6mm,27,0,,,143.6,,2022-08-14 11:07:24
GP017F,42,111.3mm,28,0,,,111.3,,2022-08-14 11:07:27
GP017F,42,109.9mm,29,0,,,109.9,,2022-08-14 11:07:30
GP017F,42,117.7mm,30,0,,,117.7,,2022-08-14 11:07:34
GP017F,42,113.3mm,31,0,,,113.3,,2022-08-14 11:07:37
GP017F,42,135.7mm,32,0,,,135.7,,2022-08-14 11:07:40
GP017F,42,158.2mm,33,0,,,158.2,,2022-08-14 11:07:43
GP017F,42,192.6mm,34,0,,,192.6,,2022-08-14 11:07:46
GP017F,42,95.3mm,35,0,,,95.3,,2022-08-14 11:07:50
GP017F,42,200.3mm,36,0,,,200.3,,2022-08-14 11:07:53
GP017F,42,120.2mm,37,0,,,120.2,,2022-08-14 11:07:55
GP017F,42,97.5mm,38,0,,,97.5,,2022-08-14 11:07:58
GP017F,42,175.9mm,39,0,,,175.9,,2022-08-14 11:08:01
GP017F,42,145.6mm,40,0,,,145.6,,2022-08-14 11:08:04
GP017F,42,153.1mm,41,0,,,153.1,,2022-08-14 11:08:07
GP017F,42,93.2mm,42,0,,,93.2,,2022-08-14 11:08:10
GP017F,42,172.0mm,43,0,,,172.0,,2022-08-14 11:08:13
GP017F,42,94.6mm,44,0,,,94.6,,2022-08-14 11:08:16
GP017F,42,208.5mm,45,0,,,208.5,,2022-08-14 11:08:20
GP017F,42,121.4mm,46,0,,,121.4,,2022-08-14 11:08:23
GP017F,42,111.6mm,47,0,,,111.6,,2022-08-14 11:08:26
GP017F,42,100.7mm,48,0,,,100.7,,2022-08-14 11:08:29
GP017F,42,172.3mm,49,0,,,172.3,,2022-08-14 11:08:32
GP017F,42,154.5mm,50,0,,,154.5,,2022-08-14 11:08:35
GP017F,42,126.2mm,51,0,,,126.2,,2022-08-14 11:08:37
GP017F,42,108.2mm,52,0,,,108.2,,2022-08-14 11:08:41
GP017F,42,97.5mm,53,0,,,97.5,,2022-08-14 11:08:44
GP017F,42,175.7mm,54,0,,,175.7,,2022-08-14 11:08:47
GP017F,42,205.1mm,55,0,,,205.1,,2022-08-14 11:08:50
GP017F,42,101.8mm,56,0,,,101.8,,2022-08-14 11:08:52
GP017F,42,163.7mm,57,0,,,163.7,,2022-08-14 11:08:56
GP017F,42,115.1mm,58,0,,,115.1,,2022-08-14 11:08:58
GP017F,42,199.6mm,59,0,,,199.6,,2022-08-14 11:09:01
GP017F,42,96.7mm,60,0,,,96.7,,2022-08-14 11:09:04
GP017F,42,150.4mm,61,0,,,150.4,,2022-08-14 11:09:07
GP017F,42,112.3mm,62,0,,,112.3,,2022-08-14 11:09:09
GP017F,42,93.5mm,63,0,,,93.5,,2022-08-14 11:09:13
GP017F,42,151.5mm,64,0,,,151.5,,2022-08-14 11:09:17
GP017F,42,144.0mm,65,0,,,144.0,,2022-08-14 11:09:19
GP017F,42,129.3mm,66,0,,,129.3,,2022-08-14 11:09:23
GP017F,42,169.0mm,67,0,,,169.0,,2022-08-14 11:09:26
GP017F,42,99.3mm,68,0,,,99.3,,2022-08-14 11:09:28
GP017F,42,196.6mm,69,0,,,196.6,,2022-08-14 11:09:32
GP017F,42,282.5mm,70,0,,,282.5,,2022-08-14 11:09:35
GP017F,42,197.0mm,71,0,,,197.0,,2022-08-14 11:09:38
GP017F,42,140.6mm,72,0,,,140.6,,2022-08-14 11:09:41
GP017F,42,152.6mm,73,0,,,152.6,,2022-08-14 11:09:44
GP017F,42,179.4mm,74,0,,,179.4,,2022-08-14 11:09:47
GP017F,42,118.3mm,75,0,,,118.3,,2022-08-14 11:09:50
GP017F,42,138.0mm,76,0,,,138.0,,2022-08-14 11:09:54
GP017F,42,128.7mm,77,0,,,128.7,,2022-08-14 11:09:57
GP017F,42,107.3mm,78,0,,,107.3,,2022-08-14 11:09:59
GP017F,42,145.2mm,79,0,,,145.2,,2022-08-14 11:10:03
GP017F,42,112.6mm,80,0,,,112.6,,2022-08-14 11:10:06
GP017F,42,145.6mm,81,0,,,145.6,,2022-08-14 11:10:09
GP017F,42,181.1mm,82,0,,,181.1,,2022-08-14 11:10:12
GP017F,42,157.2mm,83,0,,,157.2,,2022-08-14 11:10:15
GP017F,42,142.8mm,84,0,,,142.8,,2022-08-14 11:10:18
GP017F,42,86.5mm,85,0,,,86.5,,2022-08-14 11:10:21
GP017F,42,119.3mm,86,0,,,119.3,,2022-08-14 11:10:25
GP017F,42,105.8mm,87,0,,,105.8,,2022-08-14 11:10:28
GP017F,42,132.6mm,88,0,,,132.6,,2022-08-14 11:10:31
GP017F,42,172.4mm,89,0,,,172.4,,2022-08-14 11:10:35
GP017F,42,119.3mm,90,0,,,119.3,,2022-08-14 11:10:39
GP017F,42,183.0mm,91,0,,,183.0,,2022-08-14 11:10:42
GP017F,42,111.7mm,92,0,,,111.7,,2022-08-14 11:10:45
GP017F,42,94.6mm,93,0,,,94.6,,2022-08-14 11:10:48
GP017F,42,104.1mm,94,0,,,104.1,,2022-08-14 11:10:51
GP017F,42,116.2mm,95,0,,,116.2,,2022-08-14 11:10:55
GP017F,42,139.7mm,96,0,,,139.7,,2022-08-14 11:10:58
GP017F,42,146.4mm,97,0,,,146.4,,2022-08-14 11:11:01
GP017F,42,109.9mm,98,0,,,109.9,,2022-08-14 11:11:04
GP017F,40,146.8mm,1,0,,,146.8,,2022-08-14 11:11:23
GP017F,40,120.0mm,2,0,,,120.0,,2022-08-14 11:11:27
GP017F,40,165.3mm,3,0,,,165.3,,2022-08-14 11:11:30
GP017F,40,94.9mm,4,0,,,94.9,,2022-08-14 11:11:33
GP017F,40,184.2mm,5,0,,,184.2,,2022-08-14 11:11:37
GP017F,40,101.5mm,6,0,,,101.5,,2022-08-14 11:11:41
GP017F,40,212.3mm,7,0,,,212.3,,2022-08-14 11:11:46
GP017F,40,206.4mm,8,0,,,206.4,,2022-08-14 11:11:49
GP017F,40,172.0mm,9,0,,,172.0,,2022-08-14 11:11:53
GP017F,340,104.9mm,1,0,,,104.9,,2022-08-14 11:12:08
GP017F,340,148.4mm,2,0,,,148.4,,2022-08-14 11:12:14
GP017F,340,109.1mm,3,0,,,109.1,,2022-08-14 11:12:18
GP017F,340,105.4mm,4,0,,,105.4,,2022-08-14 11:12:21
GP017F,340,78.1mm,5,0,,,78.1,,2022-08-14 11:12:25
GP017F,340,87.8mm,6,0,,,87.8,,2022-08-14 11:12:28
GP017F,340,64.2mm,7,0,,,64.2,,2022-08-14 11:12:36
GP018F,302,127.0mm,1,0,,,127.0,,2022-08-04 12:38:18
GP018F,302,162.8mm,2,0,,,162.8,,2022-08-04 12:38:33
GP018F,302,119.1mm,3,0,,,119.1,,2022-08-04 12:38:36
GP018F,302,153.6mm,4,0,,,153.6,,2022-08-04 12:38:38
GP018F,302,137.9mm,5,0,,,137.9,,2022-08-04 12:38:41
GP018F,40,54.1mm,1,0,,,54.1,,2022-08-04 12:38:52
GP018F,40,67.2mm,2,0,,,67.2,,2022-08-04 12:38:55
GP018F,40,145.0mm,3,0,,,145.0,,2022-08-04 12:38:59
GP018F,40,181.8mm,4,0,,,181.8,,2022-08-04 12:39:05
GP018F,40,174.0mm,5,0,,,174.0,,2022-08-04 12:39:07
GP018F,40,144.8mm,6,0,,,144.8,,2022-08-04 12:39:10
GP018F,40,133.0mm,7,0,,,133.0,,2022-08-04 12:39:12
GP018F,40,101.7mm,8,0,,,101.7,,2022-08-04 12:39:14
GP018F,40,93.0mm,9,0,,,93.0,,2022-08-04 12:39:18
GP018F,40,155.9mm,10,0,,,155.9,,2022-08-04 12:39:20
GP018F,40,44.5mm,11,0,,,44.5,,2022-08-04 12:39:23
GP018F,40,100.2mm,12,0,,,100.2,,2022-08-04 12:39:26
GP018F,40,150.3mm,13,0,,,150.3,,2022-08-04 12:39:29
GP018F,40,111.4mm,14,0,,,111.4,,2022-08-04 12:39:32
GP018F,40,198.8mm,15,0,,,198.8,,2022-08-04 12:39:34
GP018F,40,158.0mm,16,0,,,158.0,,2022-08-04 12:39:37
GP018F,40,150.1mm,17,0,,,150.1,,2022-08-04 12:39:41
GP018F,40,181.8mm,18,0,,,181.8,,2022-08-04 12:39:44
GP018F,40,148.7mm,19,0,,,148.7,,2022-08-04 12:39:46
GP018F,40,158.4mm,20,0,,,158.4,,2022-08-04 12:39:49
GP018F,40,144.5mm,21,0,,,144.5,,2022-08-04 12:39:52
GP018F,40,58.0mm,22,0,,,58.0,,2022-08-04 12:39:55
GP018F,40,144.6mm,23,0,,,144.6,,2022-08-04 12:39:59
GP018F,64,108.2mm,1,0,,,108.2,,2022-08-04 12:40:12
