measurements::GPnum,measurements::Species,measurements::Measurement,measurements::Measurementnum,measurements::One hundred flag,measurements::One hundred message,measurements::dataentrybox Measure,measurements::Measurement transformed,measurements::Measurement comment,measurements::Datetime
GP354F,10,247.3mm,1,0,,,247.3,,2023-07-10 05:33:31
GP354F,10,280.9mm,2,0,,,280.9,,2023-07-10 05:33:35
GP354F,10,303.9mm,3,0,,,303.9,,2023-07-10 05:33:38
GP354F,10,308.3mm,4,0,,,308.3,,2023-07-10 05:33:41
GP354F,10,242.0mm,5,0,,,242.0,,2023-07-10 05:33:43
GP354F,10,239.4mm,6,0,,,239.4,,2023-07-10 05:33:46
GP354F,10,262.1mm,7,0,,,262.1,,2023-07-10 05:33:49
GP354F,10,228.3mm,8,0,,,228.3,,2023-07-10 05:33:52
GP354F,10,361.7mm,9,0,,,361.7,,2023-07-10 05:33:54
GP354F,10,244.4mm,10,0,,,244.4,,2023-07-10 05:33:57
GP354F,10,303.2mm,11,0,,,303.2,,2023-07-10 05:34:00
GP354F,10,249.0mm,12,0,,,249.0,,2023-07-10 05:34:02
GP354F,10,249.6mm,13,0,,,249.6,,2023-07-10 05:34:05
GP354F,10,358.9mm,14,0,,,358.9,,2023-07-10 05:34:08
GP354F,10,250.3mm,15,0,,,250.3,,2023-07-10 05:34:10
GP354F,10,289.2mm,16,0,,,289.2,,2023-07-10 05:34:13
GP354F,10,237.2mm,17,0,,,237.2,,2023-07-10 05:34:16
GP354F,10,249.6mm,18,0,,,249.6,,2023-07-10 05:34:19
GP354F,10,328.8mm,19,0,,,328.8,,2023-07-10 05:34:22
GP354F,10,222.3mm,20,0,,,222.3,,2023-07-10 05:34:25
GP354F,10,301.7mm,21,0,,,301.7,,2023-07-10 05:34:27
GP354F,10,242.3mm,22,0,,,242.3,,2023-07-10 05:34:29
GP354F,10,233.3mm,23,0,,,233.3,,2023-07-10 05:34:32
GP354F,10,244.4mm,24,0,,,244.4,,2023-07-10 05:34:35
GP354F,10,250.1mm,25,0,,,250.1,,2023-07-10 05:34:37
GP354F,10,288.0mm,26,0,,,288.0,,2023-07-10 05:34:40
GP354F,10,240.3mm,27,0,,,240.3,,2023-07-10 05:34:43
