year,month,day,tow no,tow.id,Time.Logbook,loranx.logbook,lorany.logbook,door spread,wing.spread,hauteur
1990,6,18,1,001,11:30,15087.7,30864.6,NA,NA,NA
1990,6,18,1,001,,15087.8,30869.0,NA,NA,NA
1990,6,18,2,002,14:00,15089.4,30877.9,NA,NA,NA
1990,6,18,2,002,,15089.5,30872.4,NA,NA,NA
1990,6,18,3,003,15:30,15085.8,30759.0,NA,NA,NA
1990,6,18,3,003,,15085.3,30753.6,NA,NA,NA
1990,6,22,1,004,9:36,14526.9,29419.6,NA,NA,NA
1990,6,22,1,004,,14527.9,29424.8,NA,NA,NA
1990,6,22,2,005,10:30,14506.7,29375.3,NA,NA,NA
1990,6,22,2,005,,14508.1,29377.8,NA,NA,NA
1990,6,22,3,006,11:25,14523.2,29351.0,NA,NA,NA
1990,6,22,3,006,,14522.7,29355.1,NA,NA,NA
1990,6,22,4,007,12:50,14490.2,29310.4,NA,NA,NA
1990,6,22,4,007,,14490.5,29313.9,NA,NA,NA
1990,6,22,5,008,13:46,14493.20,29263.40,NA,NA,NA
1990,6,22,5,008,,14494.1,29267.60,NA,NA,NA
1990,6,22,6,009,14:42,14483.6,29252.6,NA,NA,NA
1990,6,22,6,009,,14485.7,29254.8,NA,NA,NA
1990,6,22,7,010,16:41,14473.3,29168.8,NA,NA,NA
1990,6,22,7,010,,14475.0,29170.5,NA,NA,NA
1990,6,22,8,011,NA,14476.2,29189.2,NA,NA,NA
1990,6,22,8,011,,14477.7,29191.8,NA,NA,NA
1990,6,23,1,012,7:00,14494.1,29090.8,NA,NA,NA
1990,6,23,1,012,,14496.2,29091.5,NA,NA,NA
1990,6,23,2,013,7:54,14511.2,29101.3,NA,NA,NA
1990,6,23,2,013,,14513.2,29101.4,NA,NA,NA
1990,6,23,3,014,9:40,14528.1,29054.8,NA,NA,NA
1990,6,23,3,014,,14530.1,29055.8,NA,NA,NA
1990,6,23,4,015,10:57,14525.2,29031.1,NA,NA,NA
1990,6,23,4,015,,14527.2,29032.2,NA,NA,NA
1990,6,23,5,016,12:25,14550.1,29004.2,NA,NA,NA
1990,6,23,5,016,,14552.1,29005.5,NA,NA,NA
1990,6,23,6,017,13:23,14545.1,28958.2,NA,NA,NA
1990,6,23,6,017,,14546.7,28955.7,NA,NA,NA
1990,6,23,7,018,13:23,14528.0,28964.9,NA,NA,NA
1990,6,23,7,018,,14529.5,28960.0,NA,NA,NA
1990,6,23,8,019,15:49,14520.4,28965.2,NA,NA,NA
1990,6,23,8,019,,14519.1,28967.6,NA,NA,NA
1990,6,23,9,020,16:13,14519.4,28963.9,NA,NA,NA
1990,6,23,9,020,,14520.8,28961.4,NA,NA,NA
1990,6,25,1,021,12:38,14458.8,29122.3,NA,NA,NA
1990,6,25,1,021,,14460.3,29121.1,NA,NA,NA
1990,6,25,2,022,13:23,14462.1,29144.3,NA,NA,NA
1990,6,25,2,022,,14462.9,29140.4,NA,NA,NA
1990,6,25,3,023,14:02,14470.8,29135.1,NA,NA,NA
1990,6,25,3,023,,14471.8,29132.2,NA,NA,NA
1990,6,25,4,024,15:07,14491.0,29174.1,NA,NA,NA
1990,6,25,4,024,,14492.2,29169.4,NA,NA,NA
