 06081990 12    3 0010001 2    48***** ****** 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** MANQUE ABDOMEN   
 06081990 12    3 0010002 2    60   41 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010003 2    50   33 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010004 1    50*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010005 1    57*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010006 2    70   51 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010007 2    51   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010008 1    59*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010009 1    66*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010010 2    53   36 ****** 1 ** 2400000000 ********1* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010011 1    53*****     8* 1 ** **00000000 *11*1***** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010012 2    59   41 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010013 1    70*****    12* 1 ** **00000000 *********1 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010014 1    61*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010015 1    53*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010016 1    75*****    13* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010017 1    68*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010018 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010019 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010020 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010021 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010022 1    63*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010023 1    61*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010024 1    78*****    14* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010025 1    60*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010026 2    61   40 ****** 1 ** 2400000000 *1******** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010027 1    58*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010028 1    73*****    12* 1 ** **00000000 **1******* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010029 1    57*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010030 1    52*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010031 1    58*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010032 2    55   36 ****** 1 ** 2400000000 *****1**** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010033 2    62   43 ****** 3 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010034 1    50*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010035 2    57   37 ****** 1 ** 2400000000 1********* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010036 2    60   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010037 2    50   34 ****** 1 ** 2400000000 *1******** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010038 2    59   40 ****** 1 ** 2400000000 *****1**** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010039 2    55   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010040 2    51   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010041 2    60   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010042 1    71*****    11* 1 ** **00000000 ***1****** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010043 1    66*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010044 1    48*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010045 1    67*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010046 1    73*****    16* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010047 1    69*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010048 2    55   37 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010049 1    72*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010050 1    68*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010051 1    70*****    15* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010052 2    59   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010053 2    56   39 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010054 1    72*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
