 08081990 12    3 0020052 2    57   38 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020053 2    50   32 ****** 3 ** 2400000000 ********1* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020054 2    52   35 ****** 3 ** 2400000000 ***11***** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020055 2    55   37 ****** 3 ** 2400000000 ********1* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020056 1    75*****    12* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020057 1    57*****     9* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020058 1    50*****     8* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020059 2    47   32 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020060 2    47   31 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020061 2    42   28 ****** 3 ** 2400000000 **1******* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020062 2    47   33 ****** 3 ** 4400000000 1******1** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020063 2    50   33 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020064 2    50   33 ****** 3 ** 2400000000 ****1*11** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020065 2    58   37 ****** 1 ** 2400000000 *1****1*** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020066 2    47   30 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020067 2    56   38 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020068 2    47   31 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020069 2    60   40 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020070 2    53   36 ****** 3 ** 2400000000 ******1*** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020071 2    52   34 ****** 3 ** 2400000000 ******1*** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020072 2    49   37 ****** 3 ** 4400000000 ***1****** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020073 2    55   34 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020074 2    55   37 ****** 3 ** 4400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020075 1    57*****    10* 2 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020076 1    55*****     9* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020077 1    60*****     9* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020078 2    56   39 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020079 2    56   38 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020080 2    46   31 ****** 2 ** 2400000000 *1***1**** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020081 2    53   35 ****** 3 ** 2400000000 ***1**12** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020082 2    53   33 ****** 3 ** 2400000000 ***1****** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020083 2    52   35 ****** 3 ** 2400000000 ***1**1*** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020084 2    55   36 ****** 3 ** 2400000000 **11****** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020085 2    49   33 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020086 2    50   32 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020087 2    62   41 ****** 3  3 **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020088 1    71*****    12* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020089 1    80*****    14* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020090 2    49   32 ****** 3 ** 4400000000 *1*****1** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020091 1    64*****    11* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020092 2    52   35 ****** 1 ** 2400000000 ***1****** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020093 2    45   32 ****** 3 ** 2400000000 ****1***** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020094 2    55   37 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020095 2    57   38 ****** 3 ** 4400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020096 2    56   36 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020097 2    48   33 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020098 1    56*****     9* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020099 1    64*****    10* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020100 1    51*****     9* 2 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020101 2    47   32 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020102 2    55   34 ****** 3 ** 2400000000 *******1** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020103 2    46   38 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020104 2    61   43 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020105 1    62*****    10* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020106 2    50   35 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020107 2    55   37 ****** 3 ** 2400000000 **1******* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020108 2    56   37 ****** 1 ** 2400000000 ****1***** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020109 2    60   39 ****** 3 ** 2400000000 *1******** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020110 2    55   38 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020111 2    58   41 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020112 1    57*****     9* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020113 2    54   34 ****** 3 ** 2400000000 *****1**** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020114 2    48   33 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020115 1    74*****    17* 2 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020116 2    52   35 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020117 2    51   35 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020118 2    47   23 ****** 1  3 **00000000 **1******* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020119 2    51   35 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020120 2    49   33 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
