Year,Month,Day,townumber,towid,species,numbercaught,weightcaught,presence,english,latin,french,species.logbook,comment
1990,6,22,6,9,501,1,NA,1,Lumpfish,Cyclopterus lumpus,Grosse poule de mer,poule de mer,
1990,6,22,6,9,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,22,6,9,2520,10,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,22,6,9,4210,10,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,22,6,9,4310,NA,NA,1,Bivalve clams unspecified,Cryptodonta (sup. Ord.),Bivalves palourde non spécifié,palourde,
1990,6,22,6,9,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,22,6,9,6500,NA,NA,1,Sand dollar unspecified,Clypeasteroida (ord.),Clypéastre non spécifié,dollars de sable,
1990,6,22,7,10,35,1,NA,1,Hake,Merluccius sp.,Merlus,barbu,
1990,6,22,7,10,41,15,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,22,7,10,801,2,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,lompénie,
1990,6,22,7,10,4310,NA,NA,1,Bivalve clams unspecified,Cryptodonta (sup. Ord.),Bivalves palourde non spécifié,palourde,
1990,6,22,7,10,6100,4,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,22,7,10,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,beaucoup
1990,6,22,7,10,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin de mer,
1990,6,22,8,11,10,20,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,22,8,11,35,6,NA,1,Hake,Merluccius sp.,Merlus,barbu,
1990,6,22,8,11,41,NA,15 lbs,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,22,8,11,598,4,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,22,8,11,2520,15,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,22,8,11,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,22,8,11,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,22,8,11,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,beaucoup
1990,6,22,8,11,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,beaucoup
1990,6,23,1,12,,1,NA,1,,,,raie,
1990,6,23,1,12,,2,NA,1,,,,barbue,
1990,6,23,1,12,,5,NA,1,,,,morue,
1990,6,23,1,12,,NA,NA,1,,,,ophiure,beaucoup
1990,6,23,2,13,,30,NA,1,,,,morue,
1990,6,23,2,13,,50,NA,1,,,,plie grise,
1990,6,23,2,13,,5,NA,1,,,,loche,
1990,6,23,2,13,,NA,NA,1,,,,pétoncle,
1990,6,23,3,14,10,50,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,23,3,14,41,100,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,23,3,14,202,1,NA,1,Smooth skate,Malacoraja senta,Raie lisse,raie,
1990,6,23,3,14,598,4,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,23,3,14,4320,NA,NA,1,Scallops,Pectinidae f.,Pétoncles,pétoncle,
1990,6,23,3,14,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),grosse étoile de mer,
1990,6,23,3,14,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
