 31072009 12    3 0130033 2 59.8843.06 ****** 4 ** 2400000000 **1******1 LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130034 2 72.0749.16 ****** 4 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130035 2 57.0239.08 ****** 4 ** 2400000000 *1******1* LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130036 2 64.1144.30 ****** 4 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130037 2 65.3744.07 ****** 4 ** 2400000000 ********1* LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130038 2 59.3642.09 ****** 4 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130039 2 56.4034.98 ****** 4 ** 2400000000 ***1****** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130040 2 59.1438.95 ****** 4 ** 2400000000 *1****1*** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130041 2 49.5133.52 ****** 4 ** 2400000000 ********1* LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130042 2 53.4336.69 ****** 4 ** 2400000000 ***11****1 LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130043 2 49.9633.84 ****** 4 ** 2400000000 ***11*1*** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130044 2 52.9036.79 ****** 4 ** 2200000000 *11***1*1* LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130045 2 55.8939.42 ****** 4 ** 2400000000 **1**1**** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130046 2 56.2739.25 ****** 4 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130047 2 66.0845.04 ****** 4 ** 2400000000 *1******** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
